DIV;Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_SD;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
DIV4;Condition 2;1479.922455;14.07306978;253.1927664;55.63618253;87.490592;389.4532777;5.390354162;5;7;0;
DIV4;Condition 2;3556.360593;8.087274267;197.6586292;35.72237203;44.55739306;571.5579525;11.98645371;9;16;3;0.113779302
DIV4;Condition 2;4175.163444;7.898314801;175.803497;35.59389125;37.63932928;605.0961513;10.14850744;10;17;2;0.251879699
DIV4;Condition 3;868.7810717;12.88382476;143.9380099;46.54184313;44.15885265;325.7929019;7.217504196;6;7;0;
DIV4;Condition 3;994.611105;13.88117472;190.1535797;40.68863611;52.8076489;406.8863611;9.496525978;9;10;0;
DIV4;Condition 3;4413.844944;11.31149772;136.8732472;34.14967074;35.5216561;375.6463782;6.721741152;4;11;1;0.486792453
DIV4;Condition 3;14064.46505;7.77607612;241.0976338;39.58104611;62.55467683;514.5535994;3.891985894;3;13;3;
DIV4;Condition 3;12234.86635;10.79047437;159.5517846;33.29215332;36.67999966;499.3822998;4.810369986;4;15;0;
DIV4;Condition 3;3253.146086;9.692223636;151.4612238;38.72792959;38.1521948;464.7351551;7.592749221;6;12;3;
DIV4;Condition 3;13483.0353;4.136415174;260.1784253;33.77997391;52.27390688;743.1594261;8.465103045;7;22;3;0.057233704
DIV4;Condition 3;1867.76853;6.482686031;169.4712574;37.14312418;45.45534213;408.574366;7.677941261;7;11;2;0.398406375
DIV4;Condition 3;6387.024662;4.45287097;178.7834144;30.8551916;35.19455297;709.6694069;15.48181145;11;23;5;0.116601888
DIV4;Condition 3;47934.0874;11.56846859;349.5127778;47.15137459;69.4309011;1084.481615;6.787904602;5;23;2;0.117814053
DIV4;Condition 3;2240.90748;19.83355227;330.1589425;50.30608629;80.8067775;704.2852081;13.36210209;11;14;4;0.152616735
DIV4;Condition 3;852.6888145;6.474404339;110.1644388;45.67975792;33.66986741;319.7583054;6.705846625;6;7;0;
DIV4;Condition 3;7864.766457;6.018215833;165.7696539;28.56452709;40.12482182;599.8550688;9.060572146;9;21;0;0.127644055
DIV4;Condition 3;3338.679751;5.529607009;183.199774;31.1734804;40.080264;529.9491668;10.8333159;10;17;2;0.1091355
DIV4;Condition 3;1744.664697;13.66273053;201.1073781;39.65147038;51.43479723;475.8176446;9.239571634;9;12;0;
DIV4;Condition 3;6242.536452;6.340789819;267.178071;35.82517333;61.12902556;609.0279466;8.052492729;8;17;1;0.057387057
DIV4;Condition 3;2268.441719;12.40485491;491.0781869;80.19743449;154.309731;721.7769104;8.27124613;7;9;2;0.336419753
DIV4;Condition 3;877.790942;7.308511776;82.06577765;23.95955425;19.58717799;311.4742052;11.09778175;11;13;2;0.341099916
DIV4;Condition 3;2655.028553;9.234459998;149.5928013;33.18785691;41.76030564;331.8785691;6.937358712;5;10;0;
DIV4;Condition 3;4439.152543;8.732422238;266.1739954;43.52110337;70.56732881;522.2532404;7.084022098;6;12;2;0.154511743
